Game,Notes,Console,Hours,Date Finished,Date Reviewed,Score,Review
Super Mario 64,Switch Online (N64),Switch,12,2026-08-14,,8,-
Super Mario Bros,Switch Online (NES),Switch,2,2024-06-01,,6,-
Super Mario Bros Wonder,,Switch,10,2023-12-10,,9,-
Super Mario Galaxy,3D All Stars,Switch,14,2024-01-06,,9,-
Super Mario Land,Switch Online (GB),Switch,1,2024-06-02,,5,-
Super Mario Land 2: 6 Golden Coins,Switch Online (GB),Switch,2,2026-06-02,,7,-
Super Mario Odyssey,,Switch,12.5,-,,9,-
Super Mario RPG,2023 Remake,Switch,12,2024-02-15,,8,-
Super Mario World,Switch Online (SNES),Switch,5,2025-09-20,,8,-
Super Monkey Ball: Banana Rumble,,Switch,5,2025-12-19,,5,-
Tevi,,Switch,23,2024-06-21,,8,-
The Great Ace Attorney 2: Resolve,,Switch,35,2025-06-22,,8,-
The Great Ace Attorney: Adventures,,Switch,30.5,2025-06-05,2025-06-05,6,reviews/the great ace attorney - adventures.html
The Legend of Zelda: Breath of the Wild,,Switch,50.5,-,,9,-
The Legend of Zelda: Echoes of Wisdom,,Switch,20.5,2024-10-31,,8,-
We Love Katamari Reroll,,Switch,5,2024-10-27,,9,-
West of Loathing,,Switch,7.5,2024-11-02,,6,-
Yoshi's Crafted World,,Switch,8,2023-12-22,,3,-
Bubsy 4D,,Switch 2,3.5,2026-06-08,2026-08-12,6,reviews/bubsy 4d.html
Donkey Kong Bananza,,Switch 2,16.5,2025-07-26,,9,-
Kirby Air Riders,,Switch 2,3.5,2025-12-31,,9,-
Mario Kart World,,Switch 2,4,-,,8,-
Pokemon Legends: Z-A,,Switch 2,26,2025-12-16,,7,-
Splatoon Raiders,,Switch 2,10,2026-08-08,,9,-
Mario Kart Wii,,Wii,5.5,-,,8,-
Splatoon,,Wii U,5,-,,7,-
Super Mario 3D World,,Wii U,10.5,-,,8,-
Halo: Combat Evolved Anniversary,Master Chief Collection,XBOX One,10,2025-05-07,2025-05-07,6,reviews/halo - combat evolved anniversary.html
New Super Lucky's Tale,,XBOX One,6.5,2024-01-15,,5,-
Persona 3 Reload,,XBOX One,64,2025-05-26,2025-05-27,9,reviews/persona 3 reload.html
