Game,Notes,Console,Hours
Metal Gear Solid 3: Snake Eater,HD Edition,PS3,16
Assassin's Creed III,,PS3,16.5
Darksiders,,PS3,17
Phantasy Star III: Generations of Doom,Sonic's Ultimate Genesis Collection,PS3,17
Red Dead Redemption,,PS3,17.5
Metal Gear Solid: Peace Walker,HD Edition,PS3,18
Assassin's Creed II,,PS3,19
Phantasy Star IV: The End of the Millenium,Sonic's Ultimate Genesis Collection,PS3,21
Shining Force,Sonic's Ultimate Genesis Collection,PS3,22
Shining in the Darkness,Sonic's Ultimate Genesis Collection,PS3,22
Kingdom Hearts Re:Chain of Memories,Final Mix,PS3,23
Assassin's Creed IV: Black Flag,,PS3,23.5
Vagrant Story,PSOne Classic,PS3,24.5
Kingdom Hearts Birth by Sleep,Final Mix,PS3,25.5
Phantasy Star II,Sonic's Ultimate Genesis Collection,PS3,27.5
Kingdom Hearts II,Final Mix,PS3,29.5
Final Fantasy X-2,HD Remaster,PS3,30.5
Shining Force II,Sonic's Ultimate Genesis Collection,PS3,30.5
Tales of Symphonia: Dawn of the New World,,PS3,32.5
The Elder Scrolls V: Skyrim,,PS3,34.5
Final Fantasy X,HD Remaster,PS3,45.5
Gran Turismo 5,,PS3,46
Tales of Symphonia,,PS3,46.5
Persona 2: Eternal Punishment,,PS3,47
The Last of Us: Left Behind,Remastered,PS4,2.5
.hack//G.U. Vol. 4: Reconnection,Last Recode,PS4,3
Castlevania: Rondo of Blood,Requiem Remaster,PS4,3.5
Persona 3: Dancing in Moonlight,Endless Night Collection,PS4,7
Persona 5: Dancing in Starlight,Endless Night Collection,PS4,7.5
Castlevania: Symphony of the Night,Requiem Remaster,PS4,8.5
Gravity Rush Remastered,,PS4,10
The Last Guardian,,PS4,12
The Last of Us,Remastered,PS4,15
Prey,2017 Reboot,PS4,16.5
Yakuza Kiwami,,PS4,18
.hack//G.U. Vol. 1: Rebirth HD,Last Recode,PS4,18.5
.hack//G.U. Vol. 2: Reminisce HD,Last Recode,PS4,20
God of War,2018 Reboot,PS4,20.5
.hack//G.U. Vol. 3: Redemption HD,Last Recode,PS4,21
Nier: Automata,,PS4,21.5
Horizon: Zero Dawn,,PS4,22.5
The Last of Us Part II,,PS4,24
Bug Fables: The Everlasting Sapling,,PS4,25.5
13 Sentinels: Aegis Rim,,PS4,30.5
Yakuza 0,,PS4,31.5
Bloodborne,,PS4,32.5
Monster Hunter World,,PS4,46.5
Dragon Quest XI: Echoes of an Elusive Age,,PS4,57
LocoRoco,,PSP,5.5
Burnout Legends,,PSP,8
Daxter,,PSP,8
Ridge Racer,,PSP,8.5
Patapon,,PSP,14.5
Star Ocean: First Departure,,PSP,20.5
Shin Megami Tensei: Persona,,PSP,31
Persona 2: Innocent Sin,,PSP,35.5
Journey of the Gods,,Quest,4
M.U.S.H.A.,Switch Online (GEN),Switch,1
